"Engineering, Technology & Computer Science | Curiosity Activation","Business, Commerce & Management | Curiosity Activation",Science & Research | Curiosity Activation,"Arts, Humanities & Creative Studies | Curiosity Activation",Healthcare & Life Sciences | Curiosity Activation,"Law, Education & Public Service | Curiosity Activation","Engineering, Technology & Computer Science | Engagement Sustainment","Business, Commerce & Management | Engagement Sustainment",Science & Research | Engagement Sustainment,"Arts, Humanities & Creative Studies | Engagement Sustainment",Healthcare & Life Sciences | Engagement Sustainment,"Law, Education & Public Service | Engagement Sustainment","Engineering, Technology & Computer Science | Personal Relevance Formation","Business, Commerce & Management | Personal Relevance Formation",Science & Research | Personal Relevance Formation,"Arts, Humanities & Creative Studies | Personal Relevance Formation",Healthcare & Life Sciences | Personal Relevance Formation,"Law, Education & Public Service | Personal Relevance Formation","Engineering, Technology & Computer Science | Passion-Driven Mastery","Business, Commerce & Management | Passion-Driven Mastery",Science & Research | Passion-Driven Mastery,"Arts, Humanities & Creative Studies | Passion-Driven Mastery",Healthcare & Life Sciences | Passion-Driven Mastery,"Law, Education & Public Service | Passion-Driven Mastery","Engineering, Technology & Computer Science","Business, Commerce & Management",Science & Research,"Arts, Humanities & Creative Studies",Healthcare & Life Sciences,"Law, Education & Public Service"
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
