Age Group,Phase,Domain,Option Count,Warnings
primary,Curiosity Activation,Arts & Creative Expression,7,
primary,Curiosity Activation,"Business, Economics & Entrepreneurship",6,
primary,Curiosity Activation,"Health, Medicine & Life Sciences",4,
primary,Curiosity Activation,STEM,7,
primary,Engagement Sustainment,Arts & Creative Expression,7,
primary,Engagement Sustainment,"Business, Economics & Entrepreneurship",7,
primary,Engagement Sustainment,"Health, Medicine & Life Sciences",3,
primary,Engagement Sustainment,STEM,7,
primary,Personal Relevance Formation,Arts & Creative Expression,6,
primary,Personal Relevance Formation,"Business, Economics & Entrepreneurship",4,
primary,Personal Relevance Formation,"Health, Medicine & Life Sciences",6,
primary,Personal Relevance Formation,STEM,6,
secondary,Curiosity Activation,Arts & Creative Expression,5,Domain counts are highly imbalanced.
secondary,Curiosity Activation,"Business, Economics & Entrepreneurship",4,Domain counts are highly imbalanced.
secondary,Curiosity Activation,"Health, Medicine & Life Sciences",1,Domain counts are highly imbalanced.
secondary,Curiosity Activation,STEM,5,Domain counts are highly imbalanced.
secondary,Engagement Sustainment,Arts & Creative Expression,6,Domain counts are highly imbalanced.
secondary,Engagement Sustainment,"Business, Economics & Entrepreneurship",6,Domain counts are highly imbalanced.
secondary,Engagement Sustainment,"Health, Medicine & Life Sciences",1,Domain counts are highly imbalanced.
secondary,Engagement Sustainment,STEM,6,Domain counts are highly imbalanced.
secondary,Personal Relevance Formation,Arts & Creative Expression,6,Domain counts are highly imbalanced.
secondary,Personal Relevance Formation,"Business, Economics & Entrepreneurship",3,Domain counts are highly imbalanced.
secondary,Personal Relevance Formation,"Health, Medicine & Life Sciences",3,Domain counts are highly imbalanced.
secondary,Personal Relevance Formation,STEM,6,Domain counts are highly imbalanced.
secondary,Passion-Driven Mastery,Arts & Creative Expression,3,Domain counts are highly imbalanced.
secondary,Passion-Driven Mastery,"Business, Economics & Entrepreneurship",2,Domain counts are highly imbalanced.
secondary,Passion-Driven Mastery,"Health, Medicine & Life Sciences",1,Domain counts are highly imbalanced.
secondary,Passion-Driven Mastery,STEM,3,Domain counts are highly imbalanced.
highered,Curiosity Activation,Arts & Creative Expression,5,Domain counts are highly imbalanced.
highered,Curiosity Activation,"Business, Economics & Entrepreneurship",4,Domain counts are highly imbalanced.
highered,Curiosity Activation,"Health, Medicine & Life Sciences",1,Domain counts are highly imbalanced.
highered,Curiosity Activation,STEM,5,Domain counts are highly imbalanced.
highered,Engagement Sustainment,Arts & Creative Expression,6,Domain counts are highly imbalanced.
highered,Engagement Sustainment,"Business, Economics & Entrepreneurship",6,Domain counts are highly imbalanced.
highered,Engagement Sustainment,"Health, Medicine & Life Sciences",1,Domain counts are highly imbalanced.
highered,Engagement Sustainment,STEM,6,Domain counts are highly imbalanced.
highered,Personal Relevance Formation,Arts & Creative Expression,6,Domain counts are highly imbalanced.
highered,Personal Relevance Formation,"Business, Economics & Entrepreneurship",4,Domain counts are highly imbalanced.
highered,Personal Relevance Formation,"Health, Medicine & Life Sciences",4,Domain counts are highly imbalanced.
highered,Personal Relevance Formation,STEM,6,Domain counts are highly imbalanced.
highered,Passion-Driven Mastery,Arts & Creative Expression,3,Domain counts are highly imbalanced.
highered,Passion-Driven Mastery,"Business, Economics & Entrepreneurship",2,Domain counts are highly imbalanced.
highered,Passion-Driven Mastery,"Health, Medicine & Life Sciences",1,Domain counts are highly imbalanced.
highered,Passion-Driven Mastery,STEM,3,Domain counts are highly imbalanced.
